id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
314,Warehouse Supervisor,Jakarta Pusat,IDR,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",semi formal;Monday to Saturday,16 days,51 - 200 pekerja,Konsultasi (Bisnis & Manajemen),"Preferably Supervisor/Coordinator specialized in Logistics/Supply Chain or equivalent.At least 2 Year(s) of working experience in the related field is required for this position.Duties/Resposibilities:Mengontrol dan mengatur seluruh kegiatan operasional di ""GUDANG CABANG"", mulai dari penerimaan, penyimpanan serta pengiriman barang (hands-on position).Mengerti barcode entry systemMemonitor dan mengontrol persediaan barang di gudang dan memastikan keakuratan jumlah inventory barang di gudangBerkoordinasi dengan bagian Internal Audit mengenai stock.Memonitor stock opnameMemastikan barang di gudang diatur sesuai dengan standar penempatan barangMengatur proses bongkar muat barang yang datang dan yang mau dikirimMemastikan administrasi pengiriman dan penerimaan barang lengkapMemastikan jadwal pengiriman barang sesuai dengan jadwalMemastikan semua prosedur standar perusahan dipatuhi oleh semua anggota tim gudangPersyaratan:Pengalaman di posisi yang sama minimal 2 tahunUsia maksimal 40 tahunMenguasai management pergudanganBersedia berkerja di Jakarta pusat.",
315,Senior Commissioning Engineer,Batam,IDR,Tidak Terspesifikasi,,Tidak terspesifikasi,,"Teknik,Teknik Elektro",,,,,"Job Overview:Required for Electrical Commissioning Engineer to prepare and execute electrical commissioning work in Qatar Gas - NFPS projectKey Responsibility/Accountability:Liaise with lead electrical commissioning engineer for all electrical system commissioning role for the new RP1N, WHP10N, WHP11N platform facilitiesProvide expertise in preparation, construction mechanical completions, pre-commissioning and commissioning of QG NFPS project facilitiesLead and supervise electrical commissioning technicians to conducts and finish all Pre-commissioning/Commissioning activities as per project requirementsStrong knowledge and hands on experience in MV & LV electrical system and UPS system Basic Qualification :More than 7 years in in CommissioningMinimum Diploma/Bachelor degree in electrical. Company Overview:McDermott is a premier, fully-integrated provider of technology, engineering and construction solutions to the energy industry. For more than a century, customers have trusted McDermott to design and build end-to-end infrastructure and technology solutions—from the wellhead to the storage tank—to transport and transform oil and gas into the products the world needs today.: ID-Riau Islands-Batam: Commissioning (Eng): Contract: Full-time: Jan 19, 2022, 3:39:40 AM-",
316,SEO Specialist,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing","Asuransi Gigi;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",21 days,51 - 200 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,"Minimum 2 years experience in SEOIn-depth knowledge of technical SEO, keyword research, onpage, link building, and ASO.Knowledge of search engine algorithms, ranking strategies and best practices.Experience in using Google Tools (GA & GSC) and SEO tools (ahrefs, Semrush, Moz)Detailed analysis/suggestion and reporting skillsAccustomed to handling various types of websites with different industries.Ability to work with teams related to SEO (website & content)Placement in Meruya - Jakarta Barat",7200000.0
317,QUANTITY SURVEYOR,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Kontrak,"Bangunan/Konstruksi,Survei Kuantitas","Asuransi Gigi;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Uniform",6 days,201 - 500 pekerja,Konstruksi/Bangunan/Teknik,"REQUIREMENT :FOR JUNIOR:Fresh graduate of Quantity Surveyor / Construction Economic Engineering with minimum GPA 3,25FOR SENIORBachelor of Quantity Surveyor/Construction Economic Engineering/ Civil EngineerHave experience maximum 3 - 5 years as Quantity Surveyor at General Contractor Company.GENERAL REQUIREMENTFluent in English both oral and writtenNote:Additional Attachment : Certificate Last Educational and Transcript is a must for fresh graduated.",
318,Site Engineer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,Kontrak,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",30 days,51 - 200 pekerja,Konstruksi/Bangunan/Teknik,"Responsibilities:-Organizing materials and ensuring sites are safe and clean.-Preparing cost estimates and ensuring appropriate materials and tools are available.-Providing technical advice and suggestions for improvement on particular projects.-Diagnosing and troubleshooting equipment as required.-Negotiating with suppliers and vendors to ensure the best contracts.-Authorizing technical drawings and engineering plans.-Drawing up work schedules and communicating any adjustments to crew members and clients.-Gathering data, compiling reports and delivering presentations to relevant stakeholders.-Delegating tasks and scheduling meetings and training sessions where required.-Completing quality assurance and providing feedback to the team.",8500000.0
319,CUSTOMER SERVICE,Jakarta Pusat,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Bisnis (contoh: Kemeja);Mon - Sat,4 days,51 - 200 pekerja,Umum & Grosir,"Job description:Memberikan Penawaran Harga (Quotation)Menjelaskan / Mengusulkan Solusi Terbaik bagi Kebutuhan CustomerMembuat Sales Order (SO)Membuat / Memeriksa Delivery Order (DO) & Sales Invoice (SI)Memantau Proses Pengiriman Barang & Pembayaran CustomerMemastikan Proses Transaksi Penjualan dari Awal sampai Akhir Berjalan dengan BaikJob Requirements:Kedewasaan dalam Sifat, Sikap & Pola PikirSupel dalam KomunikasiMempunyai Logic yang Cukup Baik & TelitiDisiplin, Komitmen & Etika Kerja yang TinggiMinimal D3 / S1Umur Maksimal 30 tahun & Fresh graduate welcome",4650500.0
320,CTS Quotation Intern,Jakarta Raya,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum","Asuransi Gigi;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",,201 - 500 pekerja,Umum & Grosir,"Job description• Collecting and record all the quotation request coming from sales engineers• Prepare the quotation as per the common define template using our system (IQ2) from Spare part to Service Contract• Submit the quotation for approval and record the approved quotation in our customer management system (C4C)Knowledge• Education on Administration job related• Able to operate Microsoft Office Applications.• Have a good command of written and spoken English. Excellent presentation and communication skills.Educational requirements• Undergraduate student  on their final year, majoring in commercial field or similar through experience.Personality requirements• Mature personality.• Good listener and a team worker.• Ambitious with a strong commitment to succeed.• Willing to develop knowledge and expertise• Well-organized, approachable, proactive individual who is a team player.Country and city description• Indonesia ( Jakarta, Semarang, Surabaya, Medan and Batam)",
321,Telemarketing,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Penjualan / Pemasaran,Telesales/Telemarketing","Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",25 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,"TelemarketingHi! We are KoinWorks, we are the market leader of P2P Lending company in Indonesia. Currently, we are hiring for Telemarketing position who will help Marketing Division to grow up our business and partnership.Responsibilities:Generate leads from various sources, such as online directories, referrals, etc.Perform data entry and manage an organized database of leadsInfluence passive customer for invest or buy our productsAdvise present or prospective customers by answering incoming calls and other telecommunication technologies.Requirements:Candidate must possess at least Diploma from Marketing or Communication fieldMinimum 1 year of working experience as TelemarketingInitiative and persistence and target oriented",
322,Accounting Supervisor,Jakarta Selatan,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",,25 days,51 - 200 pekerja,Manajemen/Konsulting HR,"Job Description:1) Handle month end closing2) Analysis of financial performance results3) Stock tacking4) AR/AP confirmation5) Support financial audit6) Advisor to Sales Dept and other Group7) Support any other projectsRequirements:1) 25-30 years old2) Holds Bachelor degree from reputable university with Accounting background3) 1-3 year experience in Accounting field4) Had experience in trading company, especially Japanese trading compeny (preferable)5) Experience in Public Accounting (PSAK) especially in Big 106) Understand business process and Indonesian Accounting Standard7) SAP (especially purchase module), excel, word, Power Point8) Fluent in English (written and speaking)9) Strong analytical thinking and logical thinking",
323,Quality Assurance ( Admin & Incoming Material ),Cileungsi,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA","Tunjangan Pendidikan;Asuransi kesehatan;Pinjaman;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Meal",14 days,201 - 500 pekerja,Manufaktur/Produksi,Deskripsi Pekerjaan:Membuat dokumen yang berhubungan dengan administrasi Quality AssuranceMerekap dan mengontrol dokumen operasional di departement Quality AssuranceMelakukan penanganan komplain dari customerMelakukan pemeriksaan dan pembuatan laporan pada tiap kedatangan materiaPersyaratan:Pendidikan minimal SMA / SMK / D3Pengalaman minimal 1 tahun di bidang Quality AssuranceMemahami konsep Quality Control Mahir menggunakan Microsoft Office ( Microsoft Word dan Microsoft Excel )Penempatan : Cileungsi - Jawa Barat,
324,Asisten Apoteker Penempatan Mojokerto,Mojokerto,IDR,Pegawai (non-manajemen & non-supervisor),,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Layanan Kesehatan,Farmasi","Bisnis (contoh: Kemeja);BPJS Ketenagakerjaan, BPJS Kesehatan, Bonus;Senin - Minggu, sesuai jam operasional cabang",25 days,1001 - 2000 pekerja,Perawatan/Kecantikan/Fitnes,Tanggung Jawab Pekerjaan :Bertugas melaksanakan kegiatan pelayanan kefarmasian yang bermutu dan efisien yang berasaskan pharmaceutical care di apotekKualifikasi Umum :Sehat jasmani dan rohaniUsia maksimal 25 tahunKualifikasi khusus:Pendidikan minimal D3 FarmasiMemiliki STRTTK yang berlakuMemiliki sertifikat uji kompetensi yang berlakuMampu mengoperasikan komputer dengan baikDapat berkomunikasi dengan baikBersedia bekerja secara shiftBersedia training di Yogyakarta,
325,MT SM (Management Trainee Sales Manager),Jakarta Raya,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Tip;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",27 days,501 - 1000 pekerja,Umum & Grosir,"Candidate must possess at least Bachelor's Degree in any fieldAge 21-25 years oldNo work experience requiredRequired Skill(s): sales skill, Negotiating, Presentation, leadership, communicationPreferably Less than 1 year experience specialized in Marketing/Business Development or equivalentInterested in being in the wine industryDress neatly, passionate, and creativeHighly recommended but not compulsory to have your own vehicle and drivers license",
326,Asisten Associate Manager,Jakarta Raya,IDR,Manajer/Asisten Manajer,3 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",,24 days,1- 50 pekerja,Akunting / Audit / Layanan Pajak,"Apakah Anda mendambakan kebebasan bekerja. Keluar dari zona nyaman untuk perkembangan yang lebih pesat dan signifikan. Dan mendapatkan hasil income yang naik tajam dalam waktu singkat.Bila Anda suka belajar, mau dibimbing, dan dalam satu tahun bisa menjadi manager , maka Andalah yang kami cari untuk posisiAsisten Associate Manager-         Kompensasi Rp. 10 juta perbulan dengan mengikuti ketentuan-         Bonus berkala sesuai ketentuan-         Reward Jalan jalan keluar Negeri-         Training, Bimbingan dan Coaching secara intensif-         Potensi menjadi Manager dalam waktu 1 tahun-         Pelatihan Knowledge dan skill secara berkesinambungan",12000000.0
327,Store Manager (Placement Semarang),Semarang,IDR,Manajer/Asisten Manajer,1 tahun,"SMA, SMU/SMK/STM, Sarjana (S1)",Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Bisnis (contoh: Kemeja),18 days,1001 - 2000 pekerja,Makanan & Minuman/Katering/Restoran,"KANDIDAT YANG MEMENUHI KRITERIA AKAN DIHUBUNGIN MELALUI WHATSAPP, PASTIKAN ANDA MENCANTUMKAN NOMOR WHATSAPP ANDA KETIKA MELAMAR. Penempatan untuk area SemarangTugas dan Tanggung Jawab:Meyakini serah terima kasir dan persediaan antar shift telah sesuai.Melakukan pemeriksaan akhir hari atas penjualan yang terjadi pada hari berjalan.Memastikan produksi yang dilakukan oleh Staf Kitchen sudah sesuai dengan kebutuhan outlet.Memantau ketersediaan makanan jadi.Melaporkan penggunaan bahan baku/WIP, waste, dan sisa persediaan pada hari berjalan kepada Cost Controller.Menindaklanjuti setiap PO/PR yang masuk melalui aplikasi ESBMemastikan bahwa seluruh PO/PR telah ditindaklanjuti dan disertai dengan dokumentasi yang memadai.Memastikan kesesuaian antara PO/PR dan surat jalan/GD dengan barang yang diterima dari WH/CK/supplier/outlet lain.Menentukan jumlah barang yang dapat diterima jika terdapat kelebihan barang yang dikirim.Mengubah jumlah barang yang diterima pada hasil cetakan PO/PR/GD (dari aplikasi ESB)/surat jalan jika jumlah barang yang diterima tidak sesuai dengan PO/PR/GD/surat jalan.Meng-input penerimaan barang pada aplikasi ESB berdasarkan jumlah barang yang diterima.Menindaklanjuti permintaan barang dari outlet lain.Meng-input GD pada aplikasi ESB.Memastikan barang yang dikirim telah diterima oleh outlet yang meminta.Memastikan kesesuaian suhu tempat penyimpanan bahan baku dan makanan setengah jadi (WIP).Melakukan pemeriksaan atas jumlah persediaan barang masuk, yang digunakan, dan persediaan yang tersisa pada akhir hari.Menganalisa kebutuhan persediaan barang, serta memantau ketersediaannya.Melaporkan hasil pemeriksaan akhir hari kepada Cost Controller, yang meliputi penerimaan, pengiriman, dan sisa persediaan (setelah dikurangi pemakaian).Mengelola petty cash dan melaporkan penggunaannya kepada Unit Finance.Menyetujui pembelian barang (simple purchase) yang akan dilakukan outlet.Meng-input simple purchase pada aplikasi ESB.· Melakukan koordinasi dengan Area Manager terkait permasalahan yang terjadi di outlet. Persyaratan:Kemampuan kepemimpinan yang baik, keterampilan manajemen orang, mentoring & coachingKeterampilan manajemen pelanggan yang sangat baikKeterampilan organisasi yang kuatKeterampilan komunikasi dan interpersonal yang baikDiploma atau Sarjana Administrasi Bisnis/Food and Beverage Management/Tata Boga/Perhotelan atau bidang yang relevanMampu mengoperasikan dan memahami MS Office terutama ExcelMemahami skema inventory dengan baikPemahaman mendalam tentang laporan profit and loss (P&L) di dalam toko, Food hygiene, Health & SafetyMemahami setiap komponen KPI dan cara mencapainyaMemahami proses pemecahan masalah yang berkaitan dengan masalah operasionalDapat berbicara dengan intonasi dan kepercayaan diri yang baikProfesional dan fleksibel sesuai kebutuhan operasional terkait penempatanMinimal lulusan SMAMinimal 1-2 tahun pengalaman kerja sebagai Store Manager / Asst. Manajer Toko yang berspesialisasi dalam F & B / Layanan Restoran atau yang setara (atau, telah memahami dengan baik setidaknya 8 / delapan persyaratan di atas).",
